id,split,image,mask,is_manip,case
train_000000,train,images/train/train_000000.jpg,masks/train/train_000000.png,0,1a07yi
train_000001,train,images/train/train_000001.jpg,masks/train/train_000001.png,1,1a07yi
train_000002,train,images/train/train_000002.jpg,masks/train/train_000002.png,0,1a16mu
train_000003,train,images/train/train_000003.jpg,masks/train/train_000003.png,1,1a16mu
train_000004,train,images/train/train_000004.jpg,masks/train/train_000004.png,1,1a16mu
train_000005,train,images/train/train_000005.jpg,masks/train/train_000005.png,0,1a1ogs
train_000006,train,images/train/train_000006.jpg,masks/train/train_000006.png,1,1a1ogs
val_000007,val,images/val/val_000007.jpg,masks/val/val_000007.png,0,1a3oag
val_000008,val,images/val/val_000008.jpg,masks/val/val_000008.png,1,1a3oag
val_000009,val,images/val/val_000009.jpg,masks/val/val_000009.png,1,1a3oag
val_000010,val,images/val/val_000010.jpg,masks/val/val_000010.png,1,1a3oag
val_000011,val,images/val/val_000011.jpg,masks/val/val_000011.png,1,1a3oag
val_000012,val,images/val/val_000012.jpg,masks/val/val_000012.png,1,1a3oag
val_000013,val,images/val/val_000013.jpg,masks/val/val_000013.png,1,1a3oag
val_000014,val,images/val/val_000014.jpg,masks/val/val_000014.png,1,1a3oag
val_000015,val,images/val/val_000015.jpg,masks/val/val_000015.png,1,1a3oag
val_000016,val,images/val/val_000016.jpg,masks/val/val_000016.png,1,1a3oag
val_000017,val,images/val/val_000017.jpg,masks/val/val_000017.png,1,1a3oag
val_000018,val,images/val/val_000018.jpg,masks/val/val_000018.png,1,1a3oag
train_000019,train,images/train/train_000019.jpg,masks/train/train_000019.png,0,1a41rr
train_000020,train,images/train/train_000020.jpg,masks/train/train_000020.png,1,1a41rr
train_000021,train,images/train/train_000021.jpg,masks/train/train_000021.png,1,1a41rr
train_000022,train,images/train/train_000022.jpg,masks/train/train_000022.png,0,1a4dqp
train_000023,train,images/train/train_000023.jpg,masks/train/train_000023.png,1,1a4dqp
train_000024,train,images/train/train_000024.jpg,masks/train/train_000024.png,0,1a4zdz
train_000025,train,images/train/train_000025.jpg,masks/train/train_000025.png,1,1a4zdz
train_000026,train,images/train/train_000026.jpg,masks/train/train_000026.png,1,1a4zdz
train_000027,train,images/train/train_000027.jpg,masks/train/train_000027.png,1,1a4zdz
train_000028,train,images/train/train_000028.jpg,masks/train/train_000028.png,1,1a4zdz
train_000029,train,images/train/train_000029.jpg,masks/train/train_000029.png,1,1a4zdz
train_000030,train,images/train/train_000030.jpg,masks/train/train_000030.png,1,1a4zdz
train_000031,train,images/train/train_000031.jpg,masks/train/train_000031.png,0,1a5h1p
train_000032,train,images/train/train_000032.jpg,masks/train/train_000032.png,1,1a5h1p
train_000033,train,images/train/train_000033.jpg,masks/train/train_000033.png,1,1a5h1p
train_000034,train,images/train/train_000034.jpg,masks/train/train_000034.png,1,1a5h1p
train_000035,train,images/train/train_000035.jpg,masks/train/train_000035.png,0,1a5x44
train_000036,train,images/train/train_000036.jpg,masks/train/train_000036.png,1,1a5x44
train_000037,train,images/train/train_000037.jpg,masks/train/train_000037.png,1,1a5x44
train_000038,train,images/train/train_000038.jpg,masks/train/train_000038.png,1,1a5x44
train_000039,train,images/train/train_000039.jpg,masks/train/train_000039.png,1,1a5x44
train_000040,train,images/train/train_000040.jpg,masks/train/train_000040.png,1,1a5x44
train_000041,train,images/train/train_000041.jpg,masks/train/train_000041.png,0,1a69n6
train_000042,train,images/train/train_000042.jpg,masks/train/train_000042.png,1,1a69n6
train_000043,train,images/train/train_000043.jpg,masks/train/train_000043.png,1,1a69n6
train_000044,train,images/train/train_000044.jpg,masks/train/train_000044.png,0,1a6upj
train_000045,train,images/train/train_000045.jpg,masks/train/train_000045.png,1,1a6upj
train_000046,train,images/train/train_000046.jpg,masks/train/train_000046.png,1,1a6upj
train_000047,train,images/train/train_000047.jpg,masks/train/train_000047.png,0,1a84zh
train_000048,train,images/train/train_000048.jpg,masks/train/train_000048.png,1,1a84zh
train_000049,train,images/train/train_000049.jpg,masks/train/train_000049.png,1,1a84zh
train_000050,train,images/train/train_000050.jpg,masks/train/train_000050.png,1,1a84zh
train_000051,train,images/train/train_000051.jpg,masks/train/train_000051.png,1,1a84zh
train_000052,train,images/train/train_000052.jpg,masks/train/train_000052.png,1,1a84zh
val_000053,val,images/val/val_000053.jpg,masks/val/val_000053.png,0,1a8jd2
val_000054,val,images/val/val_000054.jpg,masks/val/val_000054.png,1,1a8jd2
val_000055,val,images/val/val_000055.jpg,masks/val/val_000055.png,1,1a8jd2
val_000056,val,images/val/val_000056.jpg,masks/val/val_000056.png,1,1a8jd2
val_000057,val,images/val/val_000057.jpg,masks/val/val_000057.png,0,1a9l4s
val_000058,val,images/val/val_000058.jpg,masks/val/val_000058.png,1,1a9l4s
val_000059,val,images/val/val_000059.jpg,masks/val/val_000059.png,1,1a9l4s
val_000060,val,images/val/val_000060.jpg,masks/val/val_000060.png,1,1a9l4s
val_000061,val,images/val/val_000061.jpg,masks/val/val_000061.png,1,1a9l4s
val_000062,val,images/val/val_000062.jpg,masks/val/val_000062.png,1,1a9l4s
val_000063,val,images/val/val_000063.jpg,masks/val/val_000063.png,1,1a9l4s
val_000064,val,images/val/val_000064.jpg,masks/val/val_000064.png,1,1a9l4s
val_000065,val,images/val/val_000065.jpg,masks/val/val_000065.png,1,1a9l4s
train_000066,train,images/train/train_000066.jpg,masks/train/train_000066.png,0,1a9tss
train_000067,train,images/train/train_000067.jpg,masks/train/train_000067.png,1,1a9tss
train_000068,train,images/train/train_000068.jpg,masks/train/train_000068.png,1,1a9tss
train_000069,train,images/train/train_000069.jpg,masks/train/train_000069.png,1,1a9tss
train_000070,train,images/train/train_000070.jpg,masks/train/train_000070.png,1,1a9tss
train_000071,train,images/train/train_000071.jpg,masks/train/train_000071.png,1,1a9tss
train_000072,train,images/train/train_000072.jpg,masks/train/train_000072.png,1,1a9tss
val_000073,val,images/val/val_000073.jpg,masks/val/val_000073.png,0,1aa6sn
val_000074,val,images/val/val_000074.jpg,masks/val/val_000074.png,1,1aa6sn
val_000075,val,images/val/val_000075.jpg,masks/val/val_000075.png,0,1aa8xl
val_000076,val,images/val/val_000076.jpg,masks/val/val_000076.png,1,1aa8xl
val_000077,val,images/val/val_000077.jpg,masks/val/val_000077.png,1,1aa8xl
val_000078,val,images/val/val_000078.jpg,masks/val/val_000078.png,1,1aa8xl
val_000079,val,images/val/val_000079.jpg,masks/val/val_000079.png,1,1aa8xl
val_000080,val,images/val/val_000080.jpg,masks/val/val_000080.png,1,1aa8xl
val_000081,val,images/val/val_000081.jpg,masks/val/val_000081.png,1,1aa8xl
val_000082,val,images/val/val_000082.jpg,masks/val/val_000082.png,1,1aa8xl
val_000083,val,images/val/val_000083.jpg,masks/val/val_000083.png,1,1aa8xl
train_000084,train,images/train/train_000084.jpg,masks/train/train_000084.png,0,1aafqb
train_000085,train,images/train/train_000085.jpg,masks/train/train_000085.png,1,1aafqb
train_000086,train,images/train/train_000086.jpg,masks/train/train_000086.png,0,1ac1g7
train_000087,train,images/train/train_000087.jpg,masks/train/train_000087.png,1,1ac1g7
train_000088,train,images/train/train_000088.jpg,masks/train/train_000088.png,1,1ac1g7
train_000089,train,images/train/train_000089.jpg,masks/train/train_000089.png,1,1ac1g7
train_000090,train,images/train/train_000090.jpg,masks/train/train_000090.png,1,1ac1g7
train_000091,train,images/train/train_000091.jpg,masks/train/train_000091.png,1,1ac1g7
train_000092,train,images/train/train_000092.jpg,masks/train/train_000092.png,0,1acw36
train_000093,train,images/train/train_000093.jpg,masks/train/train_000093.png,1,1acw36
train_000094,train,images/train/train_000094.jpg,masks/train/train_000094.png,1,1acw36
train_000095,train,images/train/train_000095.jpg,masks/train/train_000095.png,0,1aczjh
train_000096,train,images/train/train_000096.jpg,masks/train/train_000096.png,1,1aczjh
train_000097,train,images/train/train_000097.jpg,masks/train/train_000097.png,1,1aczjh
train_000098,train,images/train/train_000098.jpg,masks/train/train_000098.png,0,1ad1a0
train_000099,train,images/train/train_000099.jpg,masks/train/train_000099.png,1,1ad1a0
train_000100,train,images/train/train_000100.jpg,masks/train/train_000100.png,1,1ad1a0
train_000101,train,images/train/train_000101.jpg,masks/train/train_000101.png,1,1ad1a0
train_000102,train,images/train/train_000102.jpg,masks/train/train_000102.png,1,1ad1a0
train_000103,train,images/train/train_000103.jpg,masks/train/train_000103.png,1,1ad1a0
train_000104,train,images/train/train_000104.jpg,masks/train/train_000104.png,1,1ad1a0
train_000105,train,images/train/train_000105.jpg,masks/train/train_000105.png,1,1ad1a0
train_000106,train,images/train/train_000106.jpg,masks/train/train_000106.png,1,1ad1a0
train_000107,train,images/train/train_000107.jpg,masks/train/train_000107.png,1,1ad1a0
val_000108,val,images/val/val_000108.jpg,masks/val/val_000108.png,0,1aeqsl
val_000109,val,images/val/val_000109.jpg,masks/val/val_000109.png,1,1aeqsl
val_000110,val,images/val/val_000110.jpg,masks/val/val_000110.png,1,1aeqsl
val_000111,val,images/val/val_000111.jpg,masks/val/val_000111.png,1,1aeqsl
val_000112,val,images/val/val_000112.jpg,masks/val/val_000112.png,1,1aeqsl
val_000113,val,images/val/val_000113.jpg,masks/val/val_000113.png,1,1aeqsl
val_000114,val,images/val/val_000114.jpg,masks/val/val_000114.png,1,1aeqsl
val_000115,val,images/val/val_000115.jpg,masks/val/val_000115.png,1,1aeqsl
val_000116,val,images/val/val_000116.jpg,masks/val/val_000116.png,1,1aeqsl
val_000117,val,images/val/val_000117.jpg,masks/val/val_000117.png,1,1aeqsl
val_000118,val,images/val/val_000118.jpg,masks/val/val_000118.png,0,1aeur2
val_000119,val,images/val/val_000119.jpg,masks/val/val_000119.png,1,1aeur2
val_000120,val,images/val/val_000120.jpg,masks/val/val_000120.png,1,1aeur2
val_000121,val,images/val/val_000121.jpg,masks/val/val_000121.png,1,1aeur2
train_000122,train,images/train/train_000122.jpg,masks/train/train_000122.png,0,1af2jv
train_000123,train,images/train/train_000123.jpg,masks/train/train_000123.png,1,1af2jv
train_000124,train,images/train/train_000124.jpg,masks/train/train_000124.png,0,1af7t4
train_000125,train,images/train/train_000125.jpg,masks/train/train_000125.png,1,1af7t4
train_000126,train,images/train/train_000126.jpg,masks/train/train_000126.png,1,1af7t4
train_000127,train,images/train/train_000127.jpg,masks/train/train_000127.png,1,1af7t4
train_000128,train,images/train/train_000128.jpg,masks/train/train_000128.png,1,1af7t4
train_000129,train,images/train/train_000129.jpg,masks/train/train_000129.png,1,1af7t4
train_000130,train,images/train/train_000130.jpg,masks/train/train_000130.png,1,1af7t4
train_000131,train,images/train/train_000131.jpg,masks/train/train_000131.png,0,1afc31
train_000132,train,images/train/train_000132.jpg,masks/train/train_000132.png,1,1afc31
train_000133,train,images/train/train_000133.jpg,masks/train/train_000133.png,0,1afcns
train_000134,train,images/train/train_000134.jpg,masks/train/train_000134.png,1,1afcns
train_000135,train,images/train/train_000135.jpg,masks/train/train_000135.png,0,1afv6o
train_000136,train,images/train/train_000136.jpg,masks/train/train_000136.png,1,1afv6o
train_000137,train,images/train/train_000137.jpg,masks/train/train_000137.png,1,1afv6o
train_000138,train,images/train/train_000138.jpg,masks/train/train_000138.png,0,1afvdd
train_000139,train,images/train/train_000139.jpg,masks/train/train_000139.png,1,1afvdd
train_000140,train,images/train/train_000140.jpg,masks/train/train_000140.png,1,1afvdd
train_000141,train,images/train/train_000141.jpg,masks/train/train_000141.png,0,1agrmz
train_000142,train,images/train/train_000142.jpg,masks/train/train_000142.png,1,1agrmz
train_000143,train,images/train/train_000143.jpg,masks/train/train_000143.png,1,1agrmz
train_000144,train,images/train/train_000144.jpg,masks/train/train_000144.png,1,1agrmz
train_000145,train,images/train/train_000145.jpg,masks/train/train_000145.png,1,1agrmz
train_000146,train,images/train/train_000146.jpg,masks/train/train_000146.png,1,1agrmz
train_000147,train,images/train/train_000147.jpg,masks/train/train_000147.png,1,1agrmz
train_000148,train,images/train/train_000148.jpg,masks/train/train_000148.png,0,1agt1r
train_000149,train,images/train/train_000149.jpg,masks/train/train_000149.png,1,1agt1r
train_000150,train,images/train/train_000150.jpg,masks/train/train_000150.png,0,1ah0n7
train_000151,train,images/train/train_000151.jpg,masks/train/train_000151.png,1,1ah0n7
train_000152,train,images/train/train_000152.jpg,masks/train/train_000152.png,1,1ah0n7
train_000153,train,images/train/train_000153.jpg,masks/train/train_000153.png,0,1ahawd
train_000154,train,images/train/train_000154.jpg,masks/train/train_000154.png,1,1ahawd
train_000155,train,images/train/train_000155.jpg,masks/train/train_000155.png,1,1ahawd
train_000156,train,images/train/train_000156.jpg,masks/train/train_000156.png,0,1ahtfm
train_000157,train,images/train/train_000157.jpg,masks/train/train_000157.png,1,1ahtfm
val_000158,val,images/val/val_000158.jpg,masks/val/val_000158.png,0,1aidqf
val_000159,val,images/val/val_000159.jpg,masks/val/val_000159.png,1,1aidqf
val_000160,val,images/val/val_000160.jpg,masks/val/val_000160.png,1,1aidqf
train_000161,train,images/train/train_000161.jpg,masks/train/train_000161.png,0,1ajtpd
train_000162,train,images/train/train_000162.jpg,masks/train/train_000162.png,1,1ajtpd
train_000163,train,images/train/train_000163.jpg,masks/train/train_000163.png,1,1ajtpd
train_000164,train,images/train/train_000164.jpg,masks/train/train_000164.png,1,1ajtpd
train_000165,train,images/train/train_000165.jpg,masks/train/train_000165.png,1,1ajtpd
train_000166,train,images/train/train_000166.jpg,masks/train/train_000166.png,1,1ajtpd
train_000167,train,images/train/train_000167.jpg,masks/train/train_000167.png,1,1ajtpd
train_000168,train,images/train/train_000168.jpg,masks/train/train_000168.png,1,1ajtpd
train_000169,train,images/train/train_000169.jpg,masks/train/train_000169.png,1,1ajtpd
train_000170,train,images/train/train_000170.jpg,masks/train/train_000170.png,1,1ajtpd
train_000171,train,images/train/train_000171.jpg,masks/train/train_000171.png,1,1ajtpd
train_000172,train,images/train/train_000172.jpg,masks/train/train_000172.png,1,1ajtpd
train_000173,train,images/train/train_000173.jpg,masks/train/train_000173.png,1,1ajtpd
train_000174,train,images/train/train_000174.jpg,masks/train/train_000174.png,1,1ajtpd
train_000175,train,images/train/train_000175.jpg,masks/train/train_000175.png,0,1al0z1
train_000176,train,images/train/train_000176.jpg,masks/train/train_000176.png,1,1al0z1
train_000177,train,images/train/train_000177.jpg,masks/train/train_000177.png,1,1al0z1
train_000178,train,images/train/train_000178.jpg,masks/train/train_000178.png,0,1al8bl
train_000179,train,images/train/train_000179.jpg,masks/train/train_000179.png,1,1al8bl
train_000180,train,images/train/train_000180.jpg,masks/train/train_000180.png,0,1al8oy
train_000181,train,images/train/train_000181.jpg,masks/train/train_000181.png,1,1al8oy
train_000182,train,images/train/train_000182.jpg,masks/train/train_000182.png,1,1al8oy
train_000183,train,images/train/train_000183.jpg,masks/train/train_000183.png,1,1al8oy
train_000184,train,images/train/train_000184.jpg,masks/train/train_000184.png,1,1al8oy
train_000185,train,images/train/train_000185.jpg,masks/train/train_000185.png,1,1al8oy
train_000186,train,images/train/train_000186.jpg,masks/train/train_000186.png,1,1al8oy
train_000187,train,images/train/train_000187.jpg,masks/train/train_000187.png,1,1al8oy
train_000188,train,images/train/train_000188.jpg,masks/train/train_000188.png,1,1al8oy
train_000189,train,images/train/train_000189.jpg,masks/train/train_000189.png,1,1al8oy
train_000190,train,images/train/train_000190.jpg,masks/train/train_000190.png,1,1al8oy
